OrderID,Product,OrderStatus,text,clean_text,Sentiment
ORD200000,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Debit Card.,order monitor order ship payment make use debit card,Positive
ORD200001,Phone,Shipped,I ordered a Phone and the order was Shipped. Payment was made using Online.,order phone order ship payment make use online,Positive
ORD200002,Tablet,Cancelled,I ordered a Tablet and the order was Cancelled. Payment was made using Credit Card.,order tablet order cancel payment make use credit card,Negative
ORD200003,Chair,Returned,I ordered a Chair and the order was Returned. Payment was made using Debit Card.,order chair order return payment make use debit card,Negative
ORD200004,Printer,Delivered,I ordered a Printer and the order was Delivered. Payment was made using Online.,order printer order deliver payment make use online,Positive
ORD200005,Phone,Shipped,I ordered a Phone and the order was Shipped. Payment was made using Credit Card.,order phone order ship payment make use credit card,Positive
ORD200006,Laptop,Returned,I ordered a Laptop and the order was Returned. Payment was made using Gift Card.,order laptop order return payment make use gift card,Negative
ORD200007,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Cash.,order monitor order ship payment make use cash,Positive
ORD200008,Phone,Cancelled,I ordered a Phone and the order was Cancelled. Payment was made using Gift Card.,order phone order cancel payment make use gift card,Negative
ORD200009,Desk,Shipped,I ordered a Desk and the order was Shipped. Payment was made using Credit Card.,order desk order ship payment make use credit card,Positive
ORD200010,Tablet,Returned,I ordered a Tablet and the order was Returned. Payment was made using Credit Card.,order tablet order return payment make use credit card,Negative
ORD200011,Monitor,Returned,I ordered a Monitor and the order was Returned. Payment was made using Online.,order monitor order return payment make use online,Negative
ORD200013,Laptop,Returned,I ordered a Laptop and the order was Returned. Payment was made using Credit Card.,order laptop order return payment make use credit card,Negative
ORD200015,Printer,Delivered,I ordered a Printer and the order was Delivered. Payment was made using Cash.,order printer order deliver payment make use cash,Positive
ORD200017,Tablet,Shipped,I ordered a Tablet and the order was Shipped. Payment was made using Debit Card.,order tablet order ship payment make use debit card,Positive
ORD200019,Monitor,Returned,I ordered a Monitor and the order was Returned. Payment was made using Cash.,order monitor order return payment make use cash,Negative
